,Brand_Name,Product_Description,Product_Detail_Description,Discounted_Price,Original_Price,Discount_Percent,Links_of_the_Product_Images,Links_of_the_Product_Zoomed_Images
118,Bewakoof,Graphic Printed Cotton T-shirt,Bewakoof Brown Naruto Graphic Printed Drop-Shoulder Sleeves Oversized Cotton T-shirt,Rs. 699,Rs. 999,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25916580/2023/11/17/9bebc411-c3c7-40b3-a970-5b0f08692c701700208816312BewakoofMenBrownPrintedT-shirt1.jpg 2.8x"
119,Levis,Brand Logo Printed T-shirt,Levis Brand Logo Printed Pure Cotton T-shirt,Rs. 577,Rs. 1699,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/23732970/2023/7/20/324d66f5-ed2d-4768-a32e-1ef90bca27281689854557924-Levis-Men-Tshirts-41689854557531-1.jpg 2.8x"
120,U.S. Polo Assn.,Cotton Varsity T-Shirt,U.S. Polo Assn. Men Pure Cotton Varsity Colourblock T-Shirt,Rs. 309,Rs. 999,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/20611736/2023/11/20/c2d6a88d-00a9-4f8a-93eb-fbb7e0ed826e1700479547897USPoloAssnMenPureCottonVarsityColourblockT-Shirt1.jpg 2.8x"
121,Kryptic,High Neck Pure Cotton T-shirt,Kryptic High Neck Long Sleeves Pure Cotton T-shirt,Rs. 734,Rs. 1499,(51% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24851662/2023/9/7/7f62d0f1-683d-40ac-812f-022e1f99bee91694070511257KrypticMenBlackHighNeckT-shirt1.jpg 2.8x"
122,Roadster,Printed Round Neck T-shirt,Roadster Men Black & Grey Printed Round Neck T-shirt,Rs. 549,Rs. 999,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/10943262/2020/9/1/0c496f57-e53d-42e8-8cc6-f2ecdcc0d1a51598949417533-Roadster-Men-Black-Printed-Round-Neck-T-shirt-53315989494159-1.jpg 2.8x"
123,The Souled Store,Oversized T-Shirt,The Souled Store Solid Mushroom Oversized T-Shirts,Rs. 594,Rs. 699,(15% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/16713286/2023/10/13/32fd6cdc-40ef-4b42-b461-d5d7592b37221697199670862TheSouledStoreSolidMushroomOversizedT-Shirts1.jpg 2.8x"
124,Campus Sutra,Printed Cotton Pure Cotton T-shirt,Campus Sutra Men Grey Printed Cotton Pure Cotton T-shirt,Rs. 549,Rs. 1099,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg 2.8x"
125,U.S. Polo Assn.,Logo Lounge T-shirts,U.S. Polo Assn. Embroidered Logo Pure Cotton Lounge T-shirts,Rs. 699,Rs. 1890,(Rs. 1191 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg 2.8x"
126,INVICTUS,Solid Polo Collar T-shirt,INVICTUS Men Yellow Solid Polo T-shirt,Rs. 319,Rs. 999,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/1291968/2020/11/27/9c4c67cf-851c-48be-9064-dac7d9bde7601606473880266-INVICTUS-Men-Yellow-Solid-Polo-T-shirt-11606473878467-1.jpg 2.8x"
127,OG For Real,Cotton Oversized T-shirt,OG For Real Graphic Printed Drop-Shoulder Sleeves Cotton Oversized T-shirt,Rs. 329,Rs. 599,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/26664430/2023/12/26/a009604a-4544-4168-a24a-78cb424e6c011703578515467OGForRealMenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg 2.8x"
